,filename,mask_filename,category,manipulation,difficulty,mask,type_occl,size_occl,soa
227,Training\Training Stimulus\blobhighmatched_bus480.png,mask_img/000000000562.png,bus,occlusion,high,mask,blob,null,0.2
228,Training\Training Stimulus\blobhighmatched_cat172.png,mask_img/000000000671.png,cat,occlusion,high,mask,blob,null,0.2
229,Training\Training Stimulus\blobhighmatched_firehydrant125.png,mask_img/000000000675.png,firehydrant,occlusion,high,mask,blob,null,0.2
230,Training\Training Stimulus\blobhighmatched_person2850.png,mask_img/000000000711.png,person,occlusion,high,mask,blob,null,0.2
231,Training\Training Stimulus\blobhighmatched_tree88.png,mask_img/000000001025.png,tree,occlusion,high,mask,blob,null,0.2
232,Training\Training Stimulus\bloblowmatched_banana3652.png,mask_img/000000001216.png,banana,occlusion,low,mask,blob,null,0.2
233,Training\Training Stimulus\bloblowmatched_bird289.png,mask_img/000000001282.png,bird,occlusion,low,mask,blob,null,0.2
234,Training\Training Stimulus\bloblowmatched_building64.png,mask_img/000000001563.png,building,occlusion,low,mask,blob,null,0.2
235,Training\Training Stimulus\bloblowmatched_bus938.png,mask_img/000000001573.png,bus,occlusion,low,mask,blob,null,0.2
236,Training\Training Stimulus\bloblowmatched_cat1021.png,mask_img/000000001599.png,cat,occlusion,low,mask,blob,null,0.2
237,Training\Training Stimulus\bloblowmatched_firehydrant570.png,mask_img/000000001810.png,firehydrant,occlusion,low,mask,blob,null,0.2
238,Training\Training Stimulus\bloblowmatched_person411.png,mask_img/000000001852.png,person,occlusion,low,mask,blob,null,0.2
239,Training\Training Stimulus\bloblowmatched_tree50.png,mask_img/000000001912.png,tree,occlusion,low,mask,blob,null,0.2
240,Training\Training Stimulus\control_banana3666.png,mask_img/000000001966.png,banana,control,control,mask,null,null,0.2
